"1"," Mihajlovskij sobor","50.41671","30.56902","1","38","54"
"2"," Akklimatizacionnij sad Kashtenko","50.47035","30.46717","4","51","40"
"3"," Dohodnij Dom Inzhenera Demchenko","50.4467","30.5275","1","38","35"
"4"," Arabskij Domik ili Domik Kovalevskogo ","50.44345","30.5319","1","83","0"
"5"," Nos","50.45895","30.51728","5","75","30"
"6"," Zverineckie peshteri","50.41993","30.5627","4","80","5"
"7"," Bratskij korpus","50.41644","30.56839","2","26","42"
"8"," Georgievskij sobor","50.4167","30.56752","1","48","45"
"9"," Kokorevskaja besedka","50.45631","30.52617","1","35","38"
"10"," Dneprovskij rajon","50.46314","30.60111","5","40","42"
"11"," Fontan Samson","50.46391","30.51689","1","30","53"
"12"," Ulica Moskovskaja","50.43785","30.54475","1","78","2"
"13"," Truhanov ostrov","50.46064","30.53963","4","1","48"
"14"," Osokorki i Poznjaki","50.40137","30.61598","5","88","17"
"15"," Galicjka sinagoga","50.44573","30.48691","1","30","52"
"16"," Muzej igrushki","50.44091","30.53794","2","41","53"
"17"," Ulica Panjkovskaja","50.4393","30.50355","5","89","50"
"18"," Bashnja 3","50.42665","30.53387","1","86","20"
"19"," Cerkva Uspinnja Bogorodici Pirogoshtoi","50.46328","30.51651","1","56","44"
"20"," Pamjatnik kozaku Mamaju","50.44991","30.52494","1","74","18"
"21"," Muzej Hanenko","50.44112","30.51448","2","62","18"
"22"," Ulica Garmatnaja","50.45275","30.43488","5","17","45"
"23"," Podoljskaja ratusha","50.46426","30.51713","1","68","57"
"24"," Pecherskaja krepostj (1706-1810 gg.)","50.43253","30.52815","1","97","37"
"25"," Tramvaj","50.51977","30.36168","5","51","57"
"26"," Lipki","50.44388","30.53479","5","29","19"
"27"," Ulica Konstantinovskaja","50.46692","30.51175","5","68","16"
"28"," Sofijskij sobor","50.45273","30.51473","1","18","58"
"29"," Ulica Rejtarskaja","50.45225","30.51027","5","62","26"
"30"," Dnepr","50.4508","30.54811","4","83","4"
